in_school,owns_house,house_beds,house_kitchen,reported_social_status,got_pr_transf,part_in_training,life_satisfaction,offdays_ill,healthinsurance,speak_other_languaje,lives_w_mother,lives_w_father,ses_15,read_overall,write_overall,numeracy_overall,computer_use_overall,think_learn_work,autonomy_at_work,repetitiveness_at_work,physical_demand_work,extraversion_av,conscientiousness_avg,openness_av,stability_av,agreeableness_av,grit_av,decision_av,hostile_av,risk,has_children,hh_size,gender,age,has_spouse,chronic_disease,shocks_bef_15,BMI,mother_tongue,labor_market_status,job_stable,hour_earnings,total_hr_worked_week,highest_ISCED_PIAAC,years_educ,wealth_index,overqualified,country,dropout,got_pu_transf,supervise,in_school_1.0,owns_house_2,owns_house_3,house_beds_2,house_beds_3,house_kitchen_1,reported_social_status_1,reported_social_status_2,reported_social_status_3,reported_social_status_4,reported_social_status_5,reported_social_status_6,got_pr_transf_1,got_pu_transf_1,part_in_training_1.0,offdays_ill_1.0,healthinsurance_1.0,speak_other_languaje_1.0,lives_w_mother_1.0,lives_w_father_1.0,read_overall_1.0,read_overall_2.0,read_overall_3.0,write_overall_1.0,write_overall_2.0,write_overall_3.0,numeracy_overall_1.0,numeracy_overall_2.0,numeracy_overall_3.0,supervise_1.0,computer_use_overall_1.0,computer_use_overall_2.0,computer_use_overall_3.0,think_learn_work_1.0,think_learn_work_2.0,think_learn_work_3.0,autonomy_at_work_1.0,autonomy_at_work_2.0,autonomy_at_work_3.0,repetitiveness_at_work_1.0,repetitiveness_at_work_2.0,repetitiveness_at_work_3.0,physical_demand_work_1.0,physical_demand_work_2.0,physical_demand_work_3.0,has_children_1.0,hh_size_2,gender_1,has_spouse_1,chronic_disease_1.0,shocks_bef_15_1.0,mother_tongue_1.0,labor_market_status_1.0,job_stable_1.0,highest_ISCED_PIAAC_1,highest_ISCED_PIAAC_2,highest_ISCED_PIAAC_3,highest_ISCED_PIAAC_5,highest_ISCED_PIAAC_6,highest_ISCED_PIAAC_7,highest_ISCED_PIAAC_8,dropout_1.0
0.0,2,1,1,2,1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,2.66666674613953,3.33333325386047,3.0,2.66666674613953,3.0,3.33333325386047,3.25,2.5,1.0,0.0,1,1,33,0,0.0,0.0,23.7999992370605,1.0,1.0,1.0,3500.0,48,1,5.0,-1.87980306148529,-1.0,Colombia,0.0,0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
0.0,2,1,1,2,0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,0.0,3.0,2.0,0.0,3.0,3.33333325386047,3.66666674613953,3.33333325386047,3.66666674613953,3.66666674613953,3.66666674613953,3.25,2.0,3.0,1.0,1,0,45,1,0.0,1.0,26.1000003814697,1.0,1.0,0.0,1915.70886230469,60,3,11.0,-1.31247591972351,1.0,Colombia,0.0,0,1.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
0.0,2,1,1,2,0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,1.0,2.0,0.0,3.0,3.0,3.0,4.0,1.33333337306976,3.33333325386047,2.66666674613953,3.5,1.5,1.0,1.0,1,1,45,1,0.0,1.0,25.0,1.0,1.0,0.0,574.712646484375,12,1,5.0,-1.57299196720123,-3.0,Colombia,1.0,1,1.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1
1.0,2,1,1,2,0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.66666674613953,3.66666674613953,4.0,3.0,3.33333325386047,3.0,3.0,2.0,1.0,1.0,1,0,48,1,0.0,0.0,26.6000003814697,1.0,0.0,0.0,0.0,0,2,10.0,0.174092903733253,0.0,Colombia,0.0,0,0.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0.0,1,1,1,2,1,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.66666662693024,3.33333325386047,2.66666674613953,2.0,3.66666674613953,2.66666674613953,3.25,3.5,1.0,1.0,1,1,64,1,1.0,1.0,26.6000003814697,1.0,0.0,0.0,0.0,0,0,2.0,-0.043461300432682,0.0,Colombia,1.0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
0.0,2,1,1,2,0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.66666662693024,3.33333325386047,3.66666674613953,3.0,3.33333325386047,3.0,4.0,2.0,1.0,1.0,1,1,19,1,0.0,0.0,21.1000003814697,1.0,1.0,0.0,10217.11328125,18,3,11.0,-0.926358878612518,3.0,Colombia,0.0,1,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0
0.0,2,1,1,2,1,0.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,2.33333325386047,3.66666674613953,3.66666674613953,2.33333325386047,3.33333325386047,3.0,3.5,2.0,1.0,1.0,1,1,50,0,0.0,1.0,24.6000003814697,1.0,1.0,0.0,1280.08190917969,54,3,11.0,-1.05352032184601,1.0,Colombia,0.0,0,1.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0
0.0,2,1,1,2,1,1.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,3.0,2.66666674613953,4.0,3.33333325386047,2.33333325386047,3.33333325386047,3.66666674613953,3.25,1.5,4.0,1.0,2,1,33,0,0.0,1.0,30.2000007629395,1.0,0.0,0.0,0.0,0,3,11.0,-0.592159330844879,1.0,Colombia,0.0,1,1.0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
0.0,2,2,1,2,0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,3.0,3.0,0.0,1.0,2.33333325386047,3.33333325386047,3.33333325386047,2.33333325386047,3.33333325386047,2.33333325386047,2.25,3.0,1.0,0.0,2,1,48,1,0.0,0.0,22.5,1.0,1.0,1.0,2873.56323242188,48,2,9.0,-0.038410484790802,-2.0,Colombia,0.0,0,0.0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
0.0,2,1,1,2,1,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.66666674613953,3.66666674613953,4.0,2.33333325386047,4.0,3.33333325386047,3.5,2.0,2.0,1.0,1,1,22,1,0.0,1.0,21.2999992370605,1.0,0.0,0.0,0.0,0,3,11.0,-1.88636422157288,0.0,Colombia,0.0,1,0.0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
